Model,Type,BiDir,Embeds,Best Val Acc,Best Val Loss,Time (s),Parameters,Layers,Train Loss,Train Acc,Val Loss,Val Acc
1_RNN_Random,RNN,False,Random,0.3532,1.505,18.26,5628133,1,0.9867,0.6066,1.8509,0.3273
2_RNN_Pretrained,RNN,False,Pretrained,0.4129,1.3425,16.51,5628133,1,0.3327,0.8794,2.6255,0.3747
3_LSTM_Random,LSTM,False,Random,0.4008,1.4633,19.97,6056677,1,0.6692,0.7375,2.3836,0.3799
4_LSTM_Pretrained,LSTM,False,Pretrained,0.4501,1.2798,19.91,6056677,1,0.1914,0.9313,2.7227,0.4042
5_GRU_Random,GRU,False,Random,0.3884,1.4775,19.73,5913829,1,0.6667,0.75,2.1021,0.3696
6_GRU_Pretrained,GRU,False,Pretrained,0.4483,1.2692,19.64,5913829,1,0.1588,0.9465,2.6806,0.4103
7_BiLSTM_Deep_Random,LSTM,True,Random,0.4058,1.4512,49.69,8206309,2,0.4496,0.8303,2.6444,0.3789
8_BiLSTM_Deep_Pretrained,LSTM,True,Pretrained,0.4517,1.2576,47.31,8206309,2,0.1796,0.9373,2.718,0.4249
9_BiGRU_Deep_Random,GRU,True,Random,0.3868,1.4763,48.09,7526373,2,0.5135,0.805,2.5722,0.3643
10_BiGRU_Deep_Pretrained,GRU,True,Pretrained,0.4466,1.2557,47.96,7526373,2,0.1413,0.951,2.9977,0.4119
